T01 Ep. 01;720p;602 MB;magnet:?xt=urn:btih:knvqreqxj6ym7zorkzgpyimaah6juq2x
T01 Ep. 01;1080p;965 MB;magnet:?xt=urn:btih:ghmg3xy7c5u2bqqkfyaknsgu3qs5ydsv
T01 Ep. 02;720p;597 MB;magnet:?xt=urn:btih:xpqlptsqcscseclnw53rzis6urgkkhxe
T01 Ep. 02;1080p;959 MB;magnet:?xt=urn:btih:4birbvrft6ogjtb6h2kwr5eivz4vsr6t
T01 Ep. 03;720p;1,04 GB;magnet:?xt=urn:btih:ebbbe027b006bf271c59904e470afbc5c83dc2b8
T01 Ep. 03;1080p;358 MB;magnet:?xt=urn:btih:dz74opxz63araob74y344djkqjx6wwlb
T01 Ep. 04;720p;1,08 GB;magnet:?xt=urn:btih:b238a5524816032eb74a6016935a10b260adbff7
T01 Ep. 04;1080p;955 MB;magnet:?xt=urn:btih:gtsjc4amcregrjwwsp2em7apk73hzu52
T01 Ep. 05;720p;1,11 GB;magnet:?xt=urn:btih:ae8f140353a4cb4c6d9fbeec70b475bda848a48f
T01 Ep. 05;1080p;955 MB;magnet:?xt=urn:btih:7qz5anet4skqe2x4shbfl23g75o57awq
T01 Ep. 06;720p;1,08 GB;magnet:?xt=urn:btih:0792813e56aaa3442531a8c7cc73e585b1049941
T01 Ep. 06;1080p;937 MB;magnet:?xt=urn:btih:3piprfqn2r6i6lutth5fc7kgk6q5pvth
T01 Ep. 07;720p;1,12 GB;magnet:?xt=urn:btih:9119b094906f05cee1e17cbaa2471bc398fac1d4
T01 Ep. 07;1080p;361 MB;magnet:?xt=urn:btih:hm2y426hnns5nbfw4sq47qgqhijwa233
T01 Ep. 08;720p;1,02 GB;magnet:?xt=urn:btih:a626434f34ed07e01b8cd1848d657f3b528ebbc3
T01 Ep. 08;1080p;952 MB;magnet:?xt=urn:btih:pjaqt4n2aldwqmg4s4dvsnbg6i4dtd3s
T01 Ep. 09;720p;1,20 GB;magnet:?xt=urn:btih:a2cba89b8811342e8c8b745e9fd1c78ef0adc2b2
T01 Ep. 09;1080p;993 MB;magnet:?xt=urn:btih:hqmmcrb3tknsnjri3v5buvwslwncgls4
T01 Ep. 10;720p;1,02 GB;magnet:?xt=urn:btih:287d079881c5f00867d186715bac9f6faadafea7
T01 Ep. 10;1080p;949 MB;magnet:?xt=urn:btih:93d1687e8f4a8ba4fc2bab1b0e70f08fd8d2538a
T01 Ep. 11;720p;1,03 GB;magnet:?xt=urn:btih:ec2e3d88795ad3059b511deb200bb8e0584ea90b
T01 Ep. 11;1080p;957 MB;magnet:?xt=urn:btih:56bb2395e302b0081d69a8f1157fda554d068a23
T01 Ep. 12;720p;1,30 GB;magnet:?xt=urn:btih:f4a22111f71c4586dfffb181d656a362138ca55a
T01 Ep. 12;1080p;965 MB;magnet:?xt=urn:btih:23ce4a5c57021431dbd7c7631aef8d42e86a7b7b
T01 Ep. 13;720p;1,35 GB;magnet:?xt=urn:btih:eb8e5158bcdff8c9a1cb2adbf0475bd225b8ce15
T01 Ep. 13;1080p;969 MB;magnet:?xt=urn:btih:pkmoxhzu3qwguk4zwmzflwtlqoripnw5
T01 Ep. 14;720p;1,21 GB;magnet:?xt=urn:btih:ed36ff91d7bc8ac99f6d3a467cfe77a47f381930
T01 Ep. 14;1080p;1,30 GB;magnet:?xt=urn:btih:dcqtmhjbv4ksofkdnvo6bneh3zln64b4
T01 Ep. 15;720p;1,41 GB;magnet:?xt=urn:btih:bf1c6e3db130062c70986b8cb67ac4c464cb2fc0
T01 Ep. 15;1080p;1,30 GB;magnet:?xt=urn:btih:x6plezywspv4dptrzeqrfh26p2lfkj4b
T01 Ep. 16;720p;1,26 GB;magnet:?xt=urn:btih:3c2a261f7919e93faf12c320d5e02b3b69be0cc5
T01 Ep. 16;1080p;1,30 GB;magnet:?xt=urn:btih:3uskoo4qye245ubhuf33gmmxe4t2djzv
T01 Ep. 17;720p;1,14 GB;magnet:?xt=urn:btih:b5a427d56127843bcaaf6319cabd3e290f92056f
T01 Ep. 17;1080p;1,30 GB;magnet:?xt=urn:btih:xkhle2msv2otp6bxmmjlxz7k23v6fgxa
T01 Ep. 18;720p;1,20 GB;magnet:?xt=urn:btih:e83032e2dc2c895fc8ed6456d357e80ff0f5bf8a
T01 Ep. 18;1080p;1,30 GB;magnet:?xt=urn:btih:v4usmirzoh7owdizacx47cqq3gwiujvs
T01 Ep. 19;720p;1,34 GB;magnet:?xt=urn:btih:491a040bb38b331046e1d72bb78ad810c2fb803d
T01 Ep. 19;1080p;1,30 GB;magnet:?xt=urn:btih:bjssfz7xwk4ekdnpnmtqdia7fcfa2lio
T01 Ep. 20;720p;1,17 GB;magnet:?xt=urn:btih:b057b957e24f626c92d91957fddf66b6f4615bdc
T01 Ep. 20;1080p;1,30 GB;magnet:?xt=urn:btih:2p4kjgzogzfarplywbi7d4magvft4m7m
T01 Ep. 21;720p;1,27 GB;magnet:?xt=urn:btih:ac89c67bd461682f539cde6d152e4c7f855c3948
T01 Ep. 21;1080p;1,30 GB;magnet:?xt=urn:btih:c5twq6htltwa5bzwzs2otsphzwxvdui4
T01 Ep. 22;720p;1,22 GB;magnet:?xt=urn:btih:7a8e982ccc9622bead1771e868fc7d77a3488775
T01 Ep. 22;1080p;1,30 GB;magnet:?xt=urn:btih:rw3dylmyf3qdyeoyxfg6wif52bttlxlp
